"Story","Title","Result","Date","Stability","Duration (s)"
"App","Activar la notificación","IGNORED","2024-02-29T13:32:10.013804-05:00[America/Bogota]","0.0","0.23"
"App","Activar la notificacion","SUCCESS","2024-03-04T17:27:12.8188462-05:00[America/Bogota]","0.0","32.69"
